MaterialNumber,Actual_ETS,Best_Prediction,Best_Model,Best_Accuracy
AB,[442],444.75080974536155,Tuned_SARIMA,99.3776448539906
ABC,[648],661.4296137857095,Tuned_ARIMA,97.92752873677321
ABCD,[836],835.7782954544609,Tuned_SARIMA,99.97348031751925
ABCDE,[200],202.5435057211394,Tuned_ARIMA,98.7282471394303
ABCDEF,[101],100.16207567232438,Tuned_SARIMA,99.17037195279642
ABCDEFG,[104],105.80288758543907,Tuned_SARIMA,98.26645424477013
ABCDEFGH,[163],176.47898967324093,Tuned_SARIMA,91.73068118206078
ABCDEFGHI,[148],142.38819885253906,LSTM,96.2082424679318
ABCDEFGHIJ,[257],236.18638610839844,LSTM,91.901317551906
ABCDEFGHIJK,[289],284.0411652845449,Tuned_ARIMA,98.28414023686675
ABCDEFGHIJKL,[30],30.0,Tuned_SARIMA,100.0
ABCDEFGHIJKLM,[78],77.80354916827778,Tuned_SARIMA,99.7481399593305
ABCDEFGHIJKLMN,[113],111.53139297787446,Tuned_SARIMA,98.7003477680305
ABCDEFGHIJKLMNO,[2781],2781.3108399555567,Tuned_SARIMA,99.98882272723635
